smiles	cid	tid
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)c(Cl)cc1Cl	CHEMBL5177240	325
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Cl	CHEMBL5170598	325
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCC(=O)NO)ccc1Cl	CHEMBL5187984	325
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCCC(=O)NO)ccc1Cl	CHEMBL5200566	325
C#CCN(C)CCCOc1cc(NCc2ccc(C(=O)NO)cc2)ccc1Cl	CHEMBL5178014	325
C#CCN(C)CCCOc1cc(NCc2ccc(C=CC(=O)NO)cc2)ccc1Cl	CHEMBL5191350	325
C#CCN(C)CCCOc1ccc(NC(=O)CCCCCCC(=O)NO)cc1Cl	CHEMBL5182215	325
C#CCN(C)CCCOc1cccc(NC(=O)CCCCCCC(=O)NO)c1Cl	CHEMBL5193384	325
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1	CHEMBL5171489	325
C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1	CHEMBL4637274	325
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)NO)c4)cc23)c1	CHEMBL3218002	325
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)Nc5ccccc5N)c4)cc23)c1	CHEMBL3218001	325
C=C(CCCCCCC(=O)NO)c1ccc2ccccc2c1	CHEMBL95535	325
C=C(Cc1ccc(O)c(Br)c1)C(=O)NCCS	CHEMBL2047683	325
C=C1CN(Cc2ccc(C(=O)Nc3ccccc3N)cc2)C(=O)c2ccccc21	CHEMBL4294949	325
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCC(=O)NO)nn1	CHEMBL4793338	325
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCC(=O)NO)nn1	CHEMBL4759072	325
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(CCCCC(=O)NO)nn1	CHEMBL4744985	325
C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn(CCC(=O)NO)nn1	CHEMBL4759697	325
C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn(CCCC(=O)NO)nn1	CHEMBL4794998	325
