core,sub,cid,as
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,c1nc(CCN[*:1])c[nH]1,CHEMBL338114,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,C(CN1CCOCC1)N[*:1],CHEMBL128987,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,c1cn(CCCN[*:1])cn1,CHEMBL126791,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,CN(C)CCCCN[*:1],CHEMBL129825,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,CN(C)CCCCCN[*:1],CHEMBL129824,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,CN(C)CCCN[*:1],CHEMBL126893,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,CN(C)CCN[*:1],CHEMBL128432,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,CN(C)[*:1],CHEMBL53428,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,CN(C)CCN(C)[*:1],CHEMBL126137,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,CN(CC(=O)O)[*:1],CHEMBL126903,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,CN(CC(O)CO)[*:1],CHEMBL340700,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,CN(CCO)[*:1],CHEMBL341319,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,CN[*:1],CHEMBL54400,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,O=C(O)CCN[*:1],CHEMBL127086,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,O=C(O)CCCN[*:1],CHEMBL128468,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,O=C(O)CN[*:1],CHEMBL338175,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,O=S(=O)(O)CCN[*:1],CHEMBL128467,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,OCC(CO)N[*:1],CHEMBL125568,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,OCC(O)CN[*:1],CHEMBL126372,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,OCCN[*:1],CHEMBL127041,0
Brc1cccc(Nc2ncnc3cc([*:1])ncc23)c1,OCCN(CCO)[*:1],CHEMBL128759,0
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,c1nc(CC[*:1])c[nH]1,CHEMBL338114,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,C1CN(CC[*:1])CCO1,CHEMBL128987,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,c1cn(CCC[*:1])cn1,CHEMBL126791,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,C(CN1CCOCC1)C[*:1],CHEMBL126623,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,CN(C)CCCC[*:1],CHEMBL129825,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,CN(C)CCCCC[*:1],CHEMBL129824,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,CN(C)CCC[*:1],CHEMBL126893,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,CN(C)CC[*:1],CHEMBL128432,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,C[*:1],CHEMBL54400,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,O=C(O)CC[*:1],CHEMBL127086,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,O=C(O)CCC[*:1],CHEMBL128468,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,O=C(O)C[*:1],CHEMBL338175,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,O=S(=O)(O)CC[*:1],CHEMBL128467,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,OCC(CO)[*:1],CHEMBL125568,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,OCC(O)C[*:1],CHEMBL126372,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,OCC[*:1],CHEMBL127041,1
Brc1cccc(Nc2ncnc3cc(N[*:1])ncc23)c1,OCCN(CCO)CC[*:1],CHEMBL435993,1
