smiles,standard_type,pPot,cid,tid
Brc1cc2c(NCc3ccccc3)ncnc2s1,IC50,6.617982957425132,CHEMBL3416599,203
Brc1cc2c(NCc3ccccn3)ncnc2s1,IC50,5.102153068420428,CHEMBL3416616,203
Brc1cc2c(NCc3cccs3)ncnc2s1,IC50,5.862013267276469,CHEMBL3416619,203
Brc1cc2c(NCc3ccncc3)ncnc2s1,IC50,5.410832609453952,CHEMBL3416614,203
Brc1cc2c(Nc3ccccc3)ncnc2s1,IC50,7.096910013008056,CHEMBL3416621,203
Brc1ccc(-c2cnc3nnc(Cc4c[nH]c5ccccc45)n3n2)cc1,IC50,6.888737486340935,CHEMBL3799231,3717
Brc1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1,IC50,8.3767507096021,CHEMBL3798130,3717
Brc1ccc(-c2nc3ccc(Nc4ccnc5ccccc45)cc3[nH]2)cc1,IC50,6.7447274948966935,CHEMBL3323605,279
Brc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1,IC50,6.251811972993799,CHEMBL3321905,3717
Brc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1,IC50,6.42021640338319,CHEMBL3321905,279
Brc1ccc(-c2nnc3sc(-c4ccoc4)nn23)cc1,IC50,5.7495799976911055,CHEMBL2375482,220
Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,IC50,6.1487416512809245,CHEMBL2325098,203
Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,IC50,6.309803919971486,CHEMBL2325091,203
Brc1ccc(C=C2CNCC3=C2N=C2SC=C(c4ccc5ccccc5c4)N2C3c2ccc(Br)cc2)cc1,IC50,6.136677139879544,CHEMBL3948489,220
Brc1ccc(C=C2CNCC3=C2N=C2SC=C(c4ccccc4)N2C3c2ccc(Br)cc2)cc1,IC50,5.8297382846050425,CHEMBL3958208,220
Brc1ccc(C=NC2CCN(Cc3ccccc3)C2)cc1,IC50,5.885055584287415,CHEMBL4794000,220
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,IC50,6.876148359032914,CHEMBL4741398,220
Brc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1,IC50,5.00436480540245,CHEMBL2047226,220
Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,IC50,7.300509466670935,CHEMBL330004,220
Brc1ccc2c(c1)-c1nc3cc(Br)ccc3n1CCO2,IC50,7.036212172654444,CHEMBL3401253,4005
Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,IC50,5.221848749616356,CHEMBL381306,203
Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,IC50,5.0,CHEMBL382862,203
Brc1cccc(-c2nnc3sc(-c4ccoc4)nn23)c1,IC50,6.46344155742847,CHEMBL2375483,220
Brc1cccc(Nc2ncnc3[nH]ccc23)c1,IC50,8.424812155072338,CHEMBL5181237,203
Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1,IC50,6.0,CHEMBL383614,203
Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1,IC50,5.468521082957745,CHEMBL203219,203
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,IC50,8.270025714300445,CHEMBL126384,203
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,IC50,8.720105019988361,CHEMBL126623,203
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,IC50,9.289967300934247,CHEMBL126791,203
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,IC50,8.489991487059765,CHEMBL128987,203
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,IC50,9.040005161671584,CHEMBL338114,203
Brc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1,IC50,7.733298033115912,CHEMBL3806143,203
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,IC50,9.36001575195841,CHEMBL39337,203
Brc1cccc(Nc2ncnc3cc4c(cc23)CN4)c1,IC50,9.36001575195841,CHEMBL447331,203
Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1,IC50,9.387216143280265,CHEMBL2425736,203
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,IC50,9.154901959985745,CHEMBL162622,203
Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,IC50,8.58335949266172,CHEMBL4171764,203
C#CCC(Oc1c(N)ncc2c(-c3cnn(C4CCNCC4)c3)coc12)c1c(Cl)ccc(F)c1Cl,IC50,7.154901959985743,CHEMBL2401818,3717
C#CCCC1(CCC(=O)N2CCC(NC(=O)NC34CC5CC(Cl)(CC(C3)c3ccccc35)C4)CC2)N=N1,IC50,9.30102999566398,CHEMBL5196519,2409
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCCCCC)c1,IC50,5.549012058582651,CHEMBL356385,220
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,IC50,5.3979400086720375,CHEMBL1190983_CHEMBL542016,220
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)c(Cl)cc1Cl,IC50,5.482804102050025,CHEMBL5177240,325
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)c(Cl)cc1Cl,IC50,7.221848749616356,CHEMBL5177240,1865
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Cl,IC50,7.522878745280337,CHEMBL5170598,325
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Cl,IC50,8.0,CHEMBL5170598,1865
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCC(=O)NO)ccc1Cl,IC50,5.636388020107855,CHEMBL5187984,325
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCC(=O)NO)ccc1Cl,IC50,7.096910013008056,CHEMBL5187984,1865
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCCC(=O)NO)ccc1Cl,IC50,5.847711655616943,CHEMBL5200566,325
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCCC(=O)NO)ccc1Cl,IC50,6.795880017344075,CHEMBL5200566,1865
C#CCN(C)CCCOc1cc(NCc2ccc(C(=O)NO)cc2)ccc1Cl,IC50,5.600326278518962,CHEMBL5178014,325
C#CCN(C)CCCOc1cc(NCc2ccc(C(=O)NO)cc2)ccc1Cl,IC50,8.0,CHEMBL5178014,1865
C#CCN(C)CCCOc1cc(NCc2ccc(C=CC(=O)NO)cc2)ccc1Cl,IC50,6.292429823902063,CHEMBL5191350,325
C#CCN(C)CCCOc1cc(NCc2ccc(C=CC(=O)NO)cc2)ccc1Cl,IC50,7.0,CHEMBL5191350,1865
C#CCN(C)CCCOc1ccc(NC(=O)CCCCCCC(=O)NO)cc1Cl,IC50,6.853871964321762,CHEMBL5182215,325
C#CCN(C)CCCOc1ccc(NC(=O)CCCCCCC(=O)NO)cc1Cl,IC50,8.221848749616356,CHEMBL5182215,1865
C#CCN(C)CCCOc1cccc(NC(=O)CCCCCCC(=O)NO)c1Cl,IC50,6.050609993355087,CHEMBL5193384,325
C#CCN(C)CCCOc1cccc(NC(=O)CCCCCCC(=O)NO)c1Cl,IC50,7.045757490560675,CHEMBL5193384,1865
C#CCN(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3ccn(C)n3)n2)cc1NC(=O)C=C,IC50,7.294478386577333,CHEMBL5070579,203
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,IC50,6.212987305964141,CHEMBL1929421,220
C#CCN(C)Cc1cc2cc(OCCCN3CCCCC3)ccc2n1C,IC50,6.275724130399211,CHEMBL4173258,220
C#CCN(C)Cc1ccc(O)c2ncccc12,IC50,5.7447274948966935,CHEMBL3291021,220
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,IC50,6.171984935776023,CHEMBL5171489,325
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,IC50,7.698970004336019,CHEMBL5171489,1865
C#CCN(CC#N)C(=O)C1CC(C(=O)N(C)C)C(C)N1,IC50,7.221848749616356,CHEMBL260701,284
C#CCN(CCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,IC50,5.920818753952375,CHEMBL4075667,220
C#CCN1C(=O)C(=C2Nc3ccccc3C2=NOCCCC(=O)NO)c2ccccc21,IC50,5.729018543937668,CHEMBL4877598,1865
C#CCN1CCc2nc3nc(N4CCCC4)c(C#N)cc3c(N)c2C1,IC50,6.187086643357144,CHEMBL2022933,220
C#CCNC1CCc2ccccc21,IC50,7.721246399047171,CHEMBL1201142_CHEMBL1235738_CHEMBL887,220
C#CCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,IC50,7.333482019445119,CHEMBL4212275,220
C#CCNc1c2c(nc3cc(Cl)ccc13)CCCC2,IC50,8.0268721464003,CHEMBL4632951,220
C#CCNc1c2c(nc3ccccc13)CCCC2,IC50,7.294992040666663,CHEMBL4633540,220
C#CCNc1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(C#N)cc1C#N,IC50,9.0,CHEMBL4225157,220
C#CCOCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1,IC50,6.176525770829699,CHEMBL221508,260
C#CCOCCn1c(SCc2ccc([S+](C)[O-])cc2)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1,IC50,5.303294219066083,CHEMBL225101,260
C#CCON=Cc1c(N)ncnc1Oc1ccc2[nH]c(C)cc2c1F,IC50,7.2839966563652,CHEMBL219676,279
C#CCOc1ccc(-c2cc(-c3ccc(OCCN4CCOCC4)cc3)nc(N)n2)cc1,IC50,7.516270100999976,CHEMBL4790416,220
